Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Var9	Var10	Var11	Var12
1	1	295	16	The three musicians organised a tour last year to meet	their fans and celebrate the release of their new studio album.	54	1594982997	54	63	The	last year to meet
1	2	394	16	The two DJs did a tour last year to meet	their fans and celebrate the release of their new studio album.	40	1575291849	41	63	The	last year to meet
1	3	295	26	The three award-winning musicians decided to organise a national tour last year to meet	their fans and celebrate the release of their new studio album.	87	2569694828	88	63	The	last year to meet
1	4	394	26	The award-winning DJs organised a national tour last year to meet	their fans and celebrate the release of their new studio album.	65	2559849254	66	63	The	last year to meet
2	1	295	16	"While the farmer steered the tractor, his 17 year old"	son was busy milking the cows in the barn.	53	1565446275	54	42	While	his 17 year old
2	2	394	16	"While he fixed the mower, his 17 year old"	son was busy milking the cows in the barn.	41	1614674145	41	42	While	his 17 year old
2	3	295	26	"While the agricultural farmer whistled and steered the expensive tractor, his 17 year old"	son was busy milking the cows in the barn.	89	2628768273	88	42	While	his 17 year old
2	4	394	26	"While the old farmer steered the expensive tractor, his 17 year old"	son was busy milking the cows in the barn.	67	2638613847	66	42	While	his 17 year old
3	1	295	16	The group of tourists flocked to the open field where a	music festival was being held for the first time.	55	1624519719	54	49	The	open field where a
3	2	394	16	The group went to the open field where a	music festival was being held for the first time.	40	1575291849	41	49	The	open field where a
3	3	295	26	The overjoyed tourists could be heard singing as they flocked to the open field where a	music festival was being held for the first time.	87	2569694828	88	49	The	open field where a
3	4	394	26	The huge group of tourists slowly flocked to the open field where a	music festival was being held for the first time.	67	2638613847	66	49	The	open field where a
4	1	295	16	The two youngest sisters played and laughed in the sun	as they enjoyed the last days of summer.	54	1594982997	54	40	The	laughed in the sun
4	2	394	16	The sisters played and laughed in the sun	as they enjoyed the last days of summer.	41	1614674145	41	40	The	laughed in the sun
4	3	295	26	"The two youngest sisters, who had been born a year apart, played and laughed in the sun"	as they enjoyed the last days of summer.	87	2569694828	88	40	The	laughed in the sun
4	4	394	26	The two youngest sisters both happily played and laughed in the sun	as they enjoyed the last days of summer.	67	2638613847	66	40	The	laughed in the sun
5	1	295	16	The two ancient graves were located in the old cemetery	where some of the tallest trees could be found.	55	1624519719	54	47	The	in the old cemetery
5	2	394	16	The tomb was located in the old cemetery	where some of the tallest trees could be found.	40	1575291849	41	47	The	in the old cemetery
5	3	295	26	"The group of ancient, unmarked graves and various tombs were located in the old cemetery"	where some of the tallest trees could be found.	88	259923155	88	47	The	in the old cemetery
5	4	394	26	The ancient graves and small tombs were located in the old cemetery	where some of the tallest trees could be found.	67	2638613847	66	47	The	in the old cemetery
6	1	295	16	She spent her break nervously pacing down the hallway	because she was worried about what would happen next.	53	1565446275	54	53	She	pacing down the hallway
6	2	394	16	She was nervously pacing down the hallway	because she was worried about what would happen next.	41	1614674145	41	53	She	pacing down the hallway
6	3	295	26	She was very anxious and spent her entire lunch break nervously pacing down the hallway	because she was worried about what would happen next.	87	2569694828	88	53	She	pacing down the hallway
6	4	394	26	She spent her entire lunch break nervously pacing down the hallway	because she was worried about what would happen next.	66	259923155	66	53	She	pacing down the hallway
7	1	295	16	"After he closed the door, the room was dark except for"	a small light coming from the LED clock.	54	1594982997	54	40	After	was dark except for
7	2	394	16	"After hours, the room was dark except for"	a small light coming from the LED clock.	41	1614674145	41	40	After	was dark except for
7	3	295	26	"After the security guards closed the two steel safety doors, the room was dark except for"	a small light coming from the LED clock.	89	2628768273	88	40	After	was dark except for
7	4	394	26	"After the guards closed the two doors, the room was dark except for"	a small light coming from the LED clock.	67	2638613847	66	40	After	was dark except for
8	1	295	16	The old house near the hill was believed to be haunted	because a whole family had disappeared under strange circumstances there.	54	1594982997	54	73	The	believed to be haunted
8	2	394	16	The old house was believed to be haunted	because a whole family had disappeared under strange circumstances there.	40	1575291849	41	73	The	believed to be haunted
8	3	295	26	The mysterious old house that stood near the top of the hill was believed to be haunted	because a whole family had disappeared under strange circumstances there.	87	2569694828	88	73	The	believed to be haunted
8	4	394	26	The old house near the top of the hill was believed to be haunted	because a whole family had disappeared under strange circumstances there.	65	2559849254	66	73	The	believed to be haunted
9	1	295	16	The villagers were awoken before dawn by the sound of	dogs barking somewhere in the distance.	53	1565446275	54	39	The	by the sound of
9	2	394	16	The villagers were awoken by the sound of	dogs barking somewhere in the distance.	41	1614674145	41	39	The	by the sound of
9	3	295	26	The villagers were annoyed because they were awoken early in the morning by the sound of	dogs barking somewhere in the distance.	88	259923155	88	39	The	by the sound of
9	4	394	26	The villagers were awoken very early in the morning by the sound of	dogs barking somewhere in the distance.	67	2638613847	66	39	The	by the sound of
10	1	295	16	"During the cold and snowy winter, a coal mine was built"	near the Massachusetts seaport of Innsmouth. 	55	1624519719	54	45	During	coal mine was built
10	2	394	16	"During the winter, a coal mine was built"	near the Massachusetts seaport of Innsmouth. 	40	1575291849	41	45	During	coal mine was built
10	3	295	26	"During the cold winter of 1927-1928 when the sea almost froze over, a coal mine was built"	near the Massachusetts seaport of Innsmouth. 	89	2628768273	88	45	During	coal mine was built
10	4	394	26	"During the cold and snowy winter of 1927-28, a coal mine was built"	near the Massachusetts seaport of Innsmouth. 	66	259923155	66	45	During	coal mine was built
11	1	295	16	Wu was really fond of the modern flats in the big city	even if they were very overpriced.	54	1594982997	54	34	Wu	in the big city
11	2	394	16	Wu liked the modern flats in the big city	even if they were very overpriced.	41	1614674145	41	34	Wu	in the big city
11	3	295	26	Wu Yang had often contemplated living in one of the spacious modern flats in the big city	even if they were very overpriced.	89	2628768273	88	34	Wu	in the big city
11	4	394	26	Wu often thought about living in the modern flats in the big city	even if they were very overpriced.	65	2559849254	66	34	Wu	in the big city
12	1	295	16	That same night a huge storm had caused the new team to	move indoors quickly for their own protection.	55	1624519719	54	46	That	the new team to
12	2	394	16	That night a storm caused the new team to	move indoors quickly for their own protection.	41	1614674145	41	46	That	the new team to
12	3	295	26	"That same night a huge storm, which had come from the far north, caused the new team to"	move indoors quickly for their own protection.	87	2569694828	88	46	That	the new team to
12	4	394	26	That night a storm came from the north and caused the new team to	move indoors quickly for their own protection.	65	2559849254	66	46	That	the new team to
13	1	295	16	"Mr. Lee, our old next door neighbour, sat in his garden"	as he watched his grandchildren play football.	55	1624519719	54	46	Mr.	sat in his garden
13	2	394	16	"Mr. Lee, our neighbour, sat in his garden"	as he watched his grandchildren play football.	41	1614674145	41	46	Mr.	sat in his garden
13	3	295	26	"Mr. Lee, our old time neighbour who had fought in the Second World War, sat in his garden"	as he watched his grandchildren play football.	89	2628768273	88	46	Mr.	sat in his garden
13	4	394	26	"Mr. Lee, our neighbour who had fought in the war, sat in his garden"	as he watched his grandchildren play football.	67	2638613847	66	46	Mr.	sat in his garden
14	1	295	16	"Gary, the security guard that day, found the small baby"	who had been abandoned in the middle of the parking lot.	55	1624519719	54	56	"Gary,"	found the small baby
14	2	394	16	"Gary, the old guard, found the small baby"	who had been abandoned in the middle of the parking lot.	41	1614674145	41	56	"Gary,"	found the small baby
14	3	295	26	"Gary, the old guard who had been called as a replacement that day, found the small baby"	who had been abandoned in the middle of the parking lot.	87	2569694828	88	56	"Gary,"	found the small baby
14	4	394	26	"Gary, the guard who covered for a colleague, found the small baby"	who had been abandoned in the middle of the parking lot.	65	2559849254	66	56	"Gary,"	found the small baby
15	1	295	16	It was only after lunch that he found out he had left	his wallet in the restaurant around the corner.	53	1565446275	54	47	It	out he had left
15	2	394	16	It was then that he found out he had left	his wallet in the restaurant around the corner.	41	1614674145	41	47	It	out he had left
15	3	295	26	It was only after he received an urgent call from the owner that he found out he had left	his wallet in the restaurant around the corner.	89	2628768273	88	47	It	out he had left
15	4	394	26	It was only after he received a call that he found out he had left	his wallet in the restaurant around the corner.	66	259923155	66	47	It	out he had left
16	1	295	16	"When she woke up that morning feeling sick, Sally knew"	she probably had food poisoning from the dinner she ate the previous night.	54	1594982997	54	75	When	"feeling sick, Sally knew"
16	2	394	16	"When she woke up feeling sick, Sally knew"	she probably had food poisoning from the dinner she ate the previous night.	41	1614674145	41	75	When	"feeling sick, Sally knew"
16	3	295	26	"When she inexplicably woke up in the early hours of the morning feeling sick, Sally knew"	she probably had food poisoning from the dinner she ate the previous night.	88	259923155	88	75	When	"feeling sick, Sally knew"
16	4	394	26	"When she woke up very early in the morning feeling sick, Sally knew"	she probably had food poisoning from the dinner she ate the previous night.	67	2638613847	66	75	When	"feeling sick, Sally knew"
17	1	295	16	"When Gregory finally woke up, he found out that nobody"	had bothered to clean up the flat after the party last night.	54	1594982997	54	61	When	found out that nobody
17	2	394	16	"When he woke up, he found out that nobody"	had bothered to clean up the flat after the party last night.	41	1614674145	41	61	When	found out that nobody
17	3	295	26	"When Gregory woke up with a throbbing headache the next morning, he found out that nobody"	had bothered to clean up the flat after the party last night.	89	2628768273	88	61	When	found out that nobody
17	4	394	26	"When Gregory woke up with a huge headache, he found out that nobody"	had bothered to clean up the flat after the party last night.	67	2638613847	66	61	When	found out that nobody
18	1	295	16	"I put a vest and a jumper in my backpack, took my keys"	and headed towards the underground parking lot.	54	1594982997	54	47	I	"backpack, took my keys"
18	2	394	16	"I put a vest in my backpack, took my keys"	and headed towards the underground parking lot.	41	1614674145	41	47	I	"backpack, took my keys"
18	3	295	26	"I thought it may be cold today, so I put a hat and a jumper in my backpack, took my keys"	and headed towards the underground parking lot.	88	259923155	88	47	I	"backpack, took my keys"
18	4	394	26	"I decided to put a vest and a jumper in my backpack, took my keys"	and headed towards the underground parking lot.	65	2559849254	66	47	I	"backpack, took my keys"
19	1	295	16	I picked up the green coffee mug that our last visitor	had forgotten and made a note to return it.	54	1594982997	54	43	I	that our last visitor
19	2	394	16	I picked up the mug that our last visitor	had forgotten and made a note to return it.	41	1614674145	41	43	I	that our last visitor
19	3	295	26	I immediately picked up the small but expensive-looking coffee mug that our last visitor	had forgotten and made a note to return it.	88	259923155	88	43	I	that our last visitor
19	4	394	26	I immediately picked up the small coffee mug that our last visitor	had forgotten and made a note to return it.	66	259923155	66	43	I	that our last visitor
20	1	295	16	"The investment banker worked hard this quarter, which"	led to a dramatic rise in her salary.	53	1565446275	54	37	The	"hard this quarter, which"
20	2	394	16	"The woman worked hard this quarter, which"	led to a dramatic rise in her salary.	41	1614674145	41	37	The	"hard this quarter, which"
20	3	295	26	"The new female company executive ensured that she worked extra hard this quarter, which"	led to a dramatic rise in her salary.	87	2569694828	88	37	The	"hard this quarter, which"
20	4	394	26	"The new female executive worked extremely hard this quarter, which"	led to a dramatic rise in her salary.	66	259923155	66	37	The	"hard this quarter, which"
21	1	295	16	"His dark blue eyes gleamed with joy, and his pale face"	was now flushed and unusually animated.	54	1594982997	54	39	His	and his pale face
21	2	394	16	"His blue eyes twinkled, and his pale face"	was now flushed and unusually animated.	41	1614674145	41	39	His	and his pale face
21	3	295	26	"His dark blue eyes gleamed with joy after the quick board game victory, and his pale face"	was now flushed and unusually animated.	89	2628768273	88	39	His	and his pale face
21	4	394	26	"His blue eyes gleamed with joy after the victory, and his pale face"	was now flushed and unusually animated.	67	2638613847	66	39	His	and his pale face
22	1	295	16	"John protested the new plan, but in the end he decided"	not to argue with his mother-in-law.	54	1594982997	54	36	John	the end he decided
22	2	394	16	"John protested, but in the end he decided"	not to argue with his mother-in-law.	41	1614674145	41	36	John	the end he decided
22	3	295	26	"John protested the plan to spend the whole weekend by the lake, but in the end he decided"	not to argue with his mother-in-law.	89	2628768273	88	36	John	the end he decided
22	4	394	26	"John protested the plan to go to the sea, but in the end he decided"	not to argue with his mother-in-law.	67	2638613847	66	36	John	the end he decided
23	1	295	16	He was not aware of the fact that he was adopted until	he met his biological mother many years later.	54	1594982997	54	46	He	he was adopted until
23	2	394	16	He did not find out he was adopted until	he met his biological mother many years later.	40	1575291849	41	46	He	he was adopted until
23	3	295	26	He had somehow never been told by anyone during his whole life that he was adopted until	he met his biological mother many years later.	88	259923155	88	46	He	he was adopted until
23	4	394	26	He had never been told in his whole life that he was adopted until	he met his biological mother many years later.	66	259923155	66	46	He	he was adopted until
24	1	295	16	Many tourists from abroad who came to visit the castle	were disappointed that they weren't allowed to see the king's chambers.	54	1594982997	54	71	Many	to visit the castle
24	2	394	16	Many people who came to visit the castle	were disappointed that they weren't allowed to see the king's chambers.	40	1575291849	41	71	Many	to visit the castle
24	3	295	26	Many old tourists who had travelled from the other side of the world to visit the castle	were disappointed that they weren't allowed to see the king's chambers.	88	259923155	88	71	Many	to visit the castle
24	4	394	26	Many tourists who had travelled from far away to visit the castle	were disappointed that they weren't allowed to see the king's chambers.	65	2559849254	66	71	Many	to visit the castle
25	1	295	16	The rumour is that the uninhabited island in this area	was claimed by a group of guerrilla fighters.	54	1594982997	54	45	The	island in this area
25	2	394	16	The only uninhabited island in this area	was claimed by a group of guerrilla fighters.	40	1575291849	41	45	The	island in this area
25	3	295	26	The TV anchor reported that during the past week the tiny uninhabited island in this area	was claimed by a group of guerrilla fighters.	89	2628768273	88	45	The	island in this area
25	4	394	26	The TV presenter reported that the uninhabited island in this area	was claimed by a group of guerrilla fighters.	66	259923155	66	45	The	island in this area
26	1	295	16	We spent an hour walking aimlessly in the forested area	until our parents called us to come back for dinner.	55	1624519719	54	52	We	in the forested area
26	2	394	16	We walked aimlessly in the forested area	until our parents called us to come back for dinner.	40	1575291849	41	52	We	in the forested area
26	3	295	26	"We had nothing to do that day, so we spent an hour walking aimlessly in the forested area"	until our parents called us to come back for dinner.	89	2628768273	88	52	We	in the forested area
26	4	394	26	"We had nothing to do, so we walked aimlessly in the forested area"	until our parents called us to come back for dinner.	65	2559849254	66	52	We	in the forested area
27	1	295	16	"When I returned from shopping, they were already in the"	restaurant and had left me a voicemail telling me to join them.	55	1624519719	54	63	When	were already in the
27	2	394	16	"When I returned, they were already in the"	restaurant and had left me a voicemail telling me to join them.	41	1614674145	41	63	When	were already in the
27	3	295	26	"When I returned home from a very busy day of Christmas shopping, they were already in the"	restaurant and had left me a voicemail telling me to join them.	89	2628768273	88	63	When	were already in the
27	4	394	26	"When I returned from Christmas shopping, they were already in the"	restaurant and had left me a voicemail telling me to join them.	65	2559849254	66	63	When	were already in the
28	1	295	16	The two Hibiscus flowers in our garden were taken from	"overseas, but they do not seem to fare too well in the colder climate."	54	1594982997	54	70	The	garden were taken from
28	2	394	16	The flowers in our garden were taken from	"overseas, but they do not seem to fare too well in the colder climate."	41	1614674145	41	70	The	garden were taken from
28	3	295	26	The half a dozen Hibiscus flowers and other tropical plants in our garden were taken from	"overseas, but they do not seem to fare too well in the colder climate."	89	2628768273	88	70	The	garden were taken from
28	4	394	26	The sub-tropical flowers and plants in our garden were taken from	"overseas, but they do not seem to fare too well in the colder climate."	65	2559849254	66	70	The	garden were taken from
29	1	295	16	People in the area usually avoided the mountain trail	because all the signs had faded away due to the lack of maintenance.	53	1565446275	54	68	People	avoided the mountain trail
29	2	394	16	People usually avoided the mountain trail	because all the signs had faded away due to the lack of maintenance.	41	1614674145	41	68	People	avoided the mountain trail
29	3	295	26	People who were interested in hiking or wild camping usually avoided the mountain trail	because all the signs had faded away due to the lack of maintenance.	87	2569694828	88	68	People	avoided the mountain trail
29	4	394	26	People interested in backpacking usually avoided the mountain trail	because all the signs had faded away due to the lack of maintenance.	67	2638613847	66	68	People	avoided the mountain trail
30	1	295	16	There were at least some reports of gunfire in the area	during the short period of civil unrest.	55	1624519719	54	40	There	gunfire in the area
30	2	394	16	There were reports of gunfire in the area	during the short period of civil unrest.	41	1614674145	41	40	There	gunfire in the area
30	3	295	26	There were at least half a dozen witnesses who reported intermittent gunfire in the area	during the short period of civil unrest.	88	259923155	88	40	There	gunfire in the area
30	4	394	26	There were at least several people who reported gunfire in the area	during the short period of civil unrest.	67	2638613847	66	40	There	gunfire in the area
31	1	295	16	"When king Alexander was one year and nine months old,"	he was already showing an impressive aptitude to learning new things.	53	1565446275	54	69	When	"and nine months old,"
31	2	394	16	"When he was one year and nine months old,"	he was already showing an impressive aptitude to learning new things.	41	1614674145	41	69	When	"and nine months old,"
31	3	295	26	"When king Alexander, the great conqueror, was no more than one year and nine months old,"	he was already showing an impressive aptitude to learning new things.	88	259923155	88	69	When	"and nine months old,"
31	4	394	26	"When king Alexander was no more than one year and nine months old,"	he was already showing an impressive aptitude to learning new things.	66	259923155	66	69	When	"and nine months old,"
32	1	295	16	Penny decided it was time to move indoors after she had	spent the whole afternoon skiing on the slope.	55	1624519719	54	46	Penny	indoors after she had
32	2	394	16	Penny quickly moved indoors after she had	spent the whole afternoon skiing on the slope.	41	1614674145	41	46	Penny	indoors after she had
32	3	295	26	"Penny Parker was already feeling quite cold, so she decided to move indoors after she had"	spent the whole afternoon skiing on the slope.	89	2628768273	88	46	Penny	indoors after she had
32	4	394	26	"Penny was feeling cold, so she wanted to move indoors after she had"	spent the whole afternoon skiing on the slope.	67	2638613847	66	46	Penny	indoors after she had
33	1	295	16	The cold temperature last winter had caused the water	pipe in the garden to completely freeze over.	53	1565446275	54	45	The	had caused the water
33	2	394	16	The cold temperature had caused the water	pipe in the garden to completely freeze over.	41	1614674145	41	45	The	had caused the water
33	3	295	26	The very low temperature during one of the coldest winters on record had caused the water	pipe in the garden to completely freeze over.	89	2628768273	88	45	The	had caused the water
33	4	394	26	The surprisingly low temperature last winter had caused the water	pipe in the garden to completely freeze over.	65	2559849254	66	45	The	had caused the water
34	1	295	16	The new virulent disease affected many of the children	who were visiting the same day care centre in the city.	54	1594982997	54	55	The	many of the children
34	2	394	16	The disease affected many of the children	who were visiting the same day care centre in the city.	41	1614674145	41	55	The	many of the children
34	3	295	26	The newly discovered disease was easily transmitted and it affected many of the children	who were visiting the same day care centre in the city.	88	259923155	88	55	The	many of the children
34	4	394	26	The disease was very virulent and it affected many of the children	who were visiting the same day care centre in the city.	66	259923155	66	55	The	many of the children
35	1	295	16	The water was rising very quickly and the four friends	jumped inside the lifeboat with a sense of urgency.	54	1594982997	54	51	The	and the four friends
35	2	394	16	The water was rising and the four friends	jumped inside the lifeboat with a sense of urgency.	41	1614674145	41	51	The	and the four friends
35	3	295	26	The murky water from the overflowing river was rising very quickly and the four friends	jumped inside the lifeboat with a sense of urgency.	87	2569694828	88	51	The	and the four friends
35	4	394	26	The murky water from the river was rising fast and the four friends	jumped inside the lifeboat with a sense of urgency.	67	2638613847	66	51	The	and the four friends
36	1	295	16	"On top of the hill near the trees, there were many huts"	overlooking the beautiful beach in the Indian ocean.	55	1624519719	54	52	On	there were many huts
36	2	394	16	"On top of the hill, there were many huts"	overlooking the beautiful beach in the Indian ocean.	40	1575291849	41	52	On	there were many huts
36	3	295	26	"On top of the hill, hidden behind the large number of coconut trees, there were many huts"	overlooking the beautiful beach in the Indian ocean.	89	2628768273	88	52	On	there were many huts
36	4	394	26	"On top of the hill behind the coconut trees, there were many huts"	overlooking the beautiful beach in the Indian ocean.	65	2559849254	66	52	On	there were many huts
37	1	295	16	"In the yellow hunting cabin, the sound of wood chopping"	could be heard from workers in the nearby forest.	55	1624519719	54	49	In	sound of wood chopping
37	2	394	16	"In the cabin, the sound of wood chopping"	could be heard from workers in the nearby forest.	40	1575291849	41	49	In	sound of wood chopping
37	3	295	26	"In the yellow hunting cabin behind the rapid mountain stream, the sound of wood chopping"	could be heard from workers in the nearby forest.	88	259923155	88	49	In	sound of wood chopping
37	4	394	26	"In the hunting cabin behind the stream, the sound of wood chopping"	could be heard from workers in the nearby forest.	66	259923155	66	49	In	sound of wood chopping
