"";"sub";"item";"cond";"seq";"dependnum";"start";"end";"duration_ms";"correctresp";"subresp";"accuracy"
"1";1;11;3;1;1;651105;654476;3371;1;1;1
"2";1;5;1;2;1;663101;665727;2626;1;1;1
"3";1;31;3;3;1;676023;678634;2611;0;0;1
"4";1;21;1;4;1;686950;689066;2116;0;0;1
"5";1;13;1;5;1;718681;720808;2127;1;1;1
"6";1;33;1;6;1;755794;758039;2245;0;0;1
"7";1;27;3;7;1;782191;784372;2181;0;0;1
"8";1;15;3;8;1;801137;803696;2559;1;1;1
"9";1;9;1;9;1;810168;812421;2253;1;1;1
"10";1;37;1;10;1;941395;943816;2421;0;0;1
"11";1;29;1;11;1;958093;960033;1940;0;0;1
"12";1;1;1;12;1;966503;969215;2712;1;1;1
"13";1;3;3;13;1;989006;991390;2384;1;1;1
"14";1;7;3;14;1;998752;1000880;2128;1;1;1
"15";1;35;3;15;1;1008115;1011088;2973;0;0;1
"16";1;25;1;16;1;1031718;1033739;2021;0;0;1
"17";1;17;1;17;1;1040174;1042304;2130;1;1;1
"18";1;39;3;18;1;1106064;1108011;1947;0;0;1
"19";1;19;3;19;1;1115925;1118093;2168;1;1;1
"20";1;23;3;20;1;1126300;1128685;2385;0;0;1
"21";1;10;2;21;1;1156376;1158716;2340;1;1;1
"22";1;36;4;22;1;1176215;1178577;2362;0;0;1
"23";1;38;2;23;1;1185385;1187365;1980;0;0;1
"24";1;8;4;24;1;1195531;1198158;2627;1;1;1
"25";1;20;4;25;1;1212069;1214349;2280;1;1;1
"26";1;24;4;26;1;1245561;1247346;1785;0;0;1
"27";1;40;4;27;1;1253943;1255713;1770;0;0;1
"28";1;2;2;28;1;1264157;1266657;2500;1;1;1
"29";1;16;4;29;1;1292124;1294396;2272;1;1;1
"30";1;12;4;30;1;1337853;1340310;2457;1;1;1
"31";1;26;2;31;1;1348451;1350494;2043;0;0;1
"32";1;34;2;32;1;1365339;1367575;2236;0;0;1
"33";1;18;2;33;1;1405258;1407458;2200;1;1;1
"34";1;6;2;34;1;1421394;1423411;2017;1;1;1
"35";1;4;4;35;1;1430670;1432832;2162;1;1;1
"36";1;28;4;36;1;1439885;1441798;1913;0;0;1
"37";1;22;2;37;1;1448159;1450196;2037;0;0;1
"38";1;30;2;38;1;1500172;1502330;2158;0;0;1
"39";1;32;4;39;1;1529781;1532345;2564;0;0;1
"40";1;14;2;40;1;1539197;1541379;2182;1;1;1
"41";2;9;2;1;1;3272738;3275524;2786;1;1;1
"42";2;35;4;2;1;3291008;3293795;2787;0;0;1
"43";2;37;2;3;1;3302960;3307130;4170;0;0;1
"44";2;7;4;4;1;3316389;3321277;4888;1;1;1
"45";2;19;4;5;1;3338358;3341348;2990;1;1;1
"46";2;23;4;6;1;3377638;3380429;2791;0;0;1
"47";2;39;4;7;1;3390092;3393390;3298;0;0;1
"48";2;1;2;8;1;3401861;3404821;2960;1;1;1
"49";2;15;4;9;1;3433626;3436772;3146;1;1;1
"50";2;11;4;10;1;3490776;3493888;3112;1;1;1
"51";2;25;2;11;1;3502274;3505409;3135;0;0;1
"52";2;33;2;12;1;3520949;3523105;2156;0;0;1
"53";2;17;2;13;1;3602257;3605231;2974;1;1;1
"54";2;5;2;14;1;3621659;3625152;3493;1;1;1
"55";2;3;4;15;1;3634689;3637634;2945;1;1;1
"56";2;27;4;16;1;3650121;3653427;3306;0;0;1
"57";2;21;2;17;1;3665390;3668595;3205;0;0;1
"58";2;29;2;18;1;3734772;3737616;2844;0;0;1
"59";2;31;4;19;1;3826986;3830238;3252;0;0;1
"60";2;13;2;20;1;3838115;3841302;3187;1;1;1
"61";2;12;1;21;1;3926639;3929685;3046;1;1;1
"62";2;6;3;22;1;3937294;3939941;2647;1;1;1
"63";2;32;1;23;1;3949971;3952502;2531;0;0;1
"64";2;22;3;24;1;3962164;3966112;3948;0;0;1
"65";2;14;3;25;1;4004641;4007474;2833;1;1;1
"66";2;34;3;26;1;4041693;4044876;3183;0;0;1
"67";2;28;1;27;1;4071933;4074783;2850;0;0;1
"68";2;16;1;28;1;4090328;4094873;4545;1;1;1
"69";2;10;3;29;1;4105400;4108705;3305;1;1;1
"70";2;38;3;30;1;4216363;4219361;2998;0;0;1
"71";2;30;3;31;1;4237493;4242025;4532;0;0;1
"72";2;2;3;32;1;4251595;4256316;4721;1;1;1
"73";2;4;1;33;1;4282946;4286108;3162;1;1;1
"74";2;8;1;34;1;4294179;4297510;3331;1;1;1
"75";2;36;1;35;1;4305495;4308486;2991;0;0;1
"76";2;26;3;36;1;4334707;4337611;2904;0;0;1
"77";2;18;3;37;1;4345172;4348568;3396;1;1;1
"78";2;40;1;38;1;4355120;4357515;2395;0;0;1
"79";2;20;1;39;1;4364610;4367283;2673;1;1;1
"80";2;24;1;40;1;4377682;4380434;2752;0;0;1
