"";"sub";"cond";"item";"seq";"start_time";"end_time";"duration_ms"
"9";1;3;63;1;599444;605214;5770
"10";1;3;79;2;607758;613639;5881
"11";1;3;43;3;617703;625930;8227
"12";1;3;67;4;628829;634813;5984
"13";1;1;69;5;637386;642863;5477
"14";1;3;11;6;645851;650912;5061
"16";1;1;5;7;657845;662912;5067
"18";1;3;31;8;668871;675836;6965
"20";1;1;21;9;681306;686761;5455
"22";1;3;59;10;692191;696627;4436
"23";1;1;89;11;699626;704035;4409
"24";1;1;65;12;706891;711293;4402
"25";1;1;13;13;714637;718493;3856
"27";1;3;75;14;723478;730159;6681
"28";1;3;83;15;733133;738242;5109
"29";1;3;55;16;741993;748150;6157
"30";1;1;33;17;752409;755592;3183
"32";1;1;81;18;761103;764150;3047
"33";1;1;93;19;767862;771916;4054
"34";1;3;27;20;775928;781999;6071
"36";1;3;91;21;787146;792266;5120
"37";1;3;15;22;795312;800940;5628
"39";1;1;9;23;806952;809973;3021
"41";1;3;95;24;815582;820606;5024
"42";1;1;57;25;823474;826573;3099
"43";1;1;41;26;829162;833472;4310
"44";1;1;49;27;836856;840755;3899
"45";1;1;73;28;844268;847355;3087
"46";1;1;61;29;850151;854113;3962
"47";1;1;97;30;902933;906786;3853
"48";1;1;53;31;909737;913778;4041
"49";1;3;99;32;916621;920944;4323
"50";1;3;51;33;924870;928702;3832
"51";1;1;85;34;931470;934169;2699
"52";1;1;37;35;937756;941202;3446
"54";1;3;87;36;946749;951527;4778
"55";1;1;29;37;954200;957901;3701
"57";1;1;1;38;962824;966309;3485
"59";1;3;71;39;971783;975701;3918
"60";1;1;45;40;978263;981251;2988
"61";1;3;3;41;984020;988817;4797
"63";1;3;7;42;994011;998558;4547
"65";1;3;35;43;1003377;1007924;4547
"67";1;3;47;44;1013765;1018241;4476
"68";1;1;77;45;1021417;1025049;3632
"69";1;1;25;46;1028139;1031524;3385
"71";1;1;17;47;1036733;1039982;3249
"73";1;3;39;48;1101761;1105871;4110
"75";1;3;19;49;1110933;1115729;4796
"77";1;3;23;50;1121687;1126103;4416
"79";1;2;98;51;1131355;1134187;2832
"80";1;4;84;52;1137475;1142195;4720
"81";1;2;82;53;1146836;1149603;2767
"82";1;2;10;54;1152856;1156186;3330
"84";1;4;92;55;1162013;1167927;5914
"85";1;4;36;56;1171430;1176019;4589
"87";1;2;38;57;1181377;1185193;3816
"89";1;4;8;58;1190480;1195343;4863
"91";1;2;54;59;1200818;1204393;3575
"92";1;4;20;60;1207872;1211876;4004
"94";1;4;48;61;1217005;1221958;4953
"95";1;4;56;62;1226124;1229983;3859
"96";1;4;44;63;1234478;1238475;3997
"97";1;4;24;64;1241305;1245366;4061
"99";1;4;40;65;1250287;1253749;3462
"101";1;2;2;66;1260462;1263965;3503
"103";1;4;72;67;1269842;1275673;5831
"104";1;4;100;68;1279300;1283682;4382
"105";1;4;16;69;1287162;1291931;4769
"107";1;4;52;70;1297012;1302081;5069
"108";1;2;62;71;1306112;1309206;3094
"109";1;2;78;72;1312280;1315989;3709
"110";1;4;96;73;1319836;1324222;4386
"111";1;4;60;74;1327407;1330880;3473
"112";1;4;12;75;1334017;1337663;3646
"114";1;2;26;76;1343802;1348254;4452
"116";1;2;86;77;1354588;1357729;3141
"117";1;2;34;78;1361729;1365145;3416
"119";1;4;68;79;1371897;1376628;4731
"120";1;4;80;80;1379586;1384428;4842
"121";1;2;94;81;1389028;1392094;3066
"122";1;2;66;82;1395279;1398927;3648
"123";1;2;18;83;1401672;1405060;3388
"125";1;2;58;84;1410384;1414693;4309
"126";1;2;6;85;1418267;1421201;2934
"128";1;4;4;86;1426619;1430476;3857
