"","sub","item","cond","seq","SFIX","EFIX","xPos","yPos","fix_num","fix_dur","sacc_dur","line","word","char_trial","char_line","prevChar","nextChar","prevX","nextX","prevY","prev_max_char_line","regress","wordID","land_pos","sacc_len","outsideText","max_char_line","Rtn_sweep","Rtn_sweep_type","LandStartLet","LandStartVA","undersweep_prob","launchDistLet","launchDistVA","launchSite","launchSiteVA"
"15",1,63,3,1,603442,603585,290.5,626.2,15,143,48,2,19,95,8,82,3,1178.4,231.3,572.3,87,0,"parents",2,74,0,60,1,"undersweep",8,2.22756112981713,1,74,21.8547130073439,5,1.61467414492821
"39",1,79,3,2,611567,611850,261,620.8,16,283,71,2,17,94,6,83,14,1191,358.1,578.7,88,0,"royal",2,77,0,40,1,"accurate",6,1.50145004330215,0,77,22.8909596765738,5,1.59990578384656
"67",1,43,3,3,622370,622540,265.5,628.6,19,170,69,2,20,93,6,82,4,1176.5,236.4,575.8,87,0,"gentle",2,76,0,35,1,"undersweep",6,1.61221275141461,1,76,22.4232949089879,5,1.66144062168681
"101",1,67,3,4,632924,633096,266.6,631.1,19,172,73,2,17,95,6,88,1,1244.6,211.2,585.6,89,0,"he",1,82,0,49,1,"undersweep",6,1.63928808006432,1,82,24.0724285631066,1,0.575966082184762
"120",1,69,1,5,640023,640232,221.5,639.9,11,209,54,2,13,56,2,48,11,766.3,323.6,569.8,54,0,"after",2,46,0,63,1,"accurate",2,0.529199605426168,0,46,13.4096718621477,6,2.01095850061944
"149",1,11,3,6,649566,649706,301.2,651.7,18,140,69,2,20,98,9,85,2,1217.5,214.1,588.7,89,0,"they",1,76,0,34,1,"undersweep",9,2.49093023577341,1,76,22.5537487652092,4,1.24300372437309
"168",1,5,1,7,661219,661412,220.7,622.2,12,193,21,2,11,57,2,8,11,293.7,326.5,556.1,55,0,"where",2,6,0,47,1,"accurate",2,0.509508457317287,0,6,1.79681726493536,47,13.9388714675739
"197",1,31,3,8,673971,674147,251.1,626.1,22,176,72,2,18,93,5,66,NA,989,193.4,584.7,88,0,"was",2,61,0,69,1,"undersweep",5,1.25777208545475,1,61,18.1626227369288,22,6.57192068133893
"222",1,21,1,9,684183,684347,265.9,618.6,15,164,46,2,13,60,6,41,2,682.2,214.5,569.9,54,0,"now",2,35,0,39,1,"undersweep",6,1.62205832546905,1,35,10.2467811971588,13,4.08099044556552
"247",1,59,3,10,695530,695703,290.3,627.4,16,173,57,2,16,97,8,59,3,904,224.7,580,89,0,"strong",3,51,0,39,1,"undersweep",8,2.22263834278991,1,51,15.1055719930251,30,8.95947238954071
