"","sub","item","cond","seq","SFIX","EFIX","xPos","yPos","fix_num","fix_dur","sacc_dur","sent","line","word","char_trial","char_line","regress","wordID","land_pos","sacc_len","blink","prev_blink","after_blink","outOfBnds","outsideText","time_since_start","max_char_line","Rtn_sweep","Rtn_sweep_type","prev_RS","next_RS","prevChar","nextChar","prevX","nextX","prevY","prev_max_char_line"
"1478",1,26,2,76,1346345,1346382,382.2,654.8,11,37,40,1,2,10,52,12,0,"parents",2,18,0,0,0,0,0,3213,52,1,"undersweep",0,0,30,1,674.2,211.6,592.3,40
"1495",1,86,2,77,1356296,1356359,573.4,602.3,7,63,164,1,2,12,65,24,0,"unusually",9,7,0,1,0,0,0,3798,43,1,"undersweep",0,0,31,6,685.6,285.2,580,41
"9387",5,15,3,47,14098911,14098990,309.8,610.4,17,79,78,1,2,21,99,10,0,"wallet",6,79,0,0,1,0,0,5006,47,1,"undersweep",0,0,89,4,1256.6,245,570.6,89
"14254",8,77,4,22,1258946,1259022,246.7,625,14,76,188,2,2,13,69,3,0,"because",3,63,0,1,0,0,0,3824,47,1,"undersweep",0,0,66,NA,1251.4,186.3,531.2,66
"15264",8,17,4,33,1372049,1372124,360,606.3,15,75,84,1,2,15,78,11,0,"bothered",7,55,0,0,0,0,0,4514,61,1,"undersweep",0,0,66,NA,1253.4,188.4,531.7,67
"17308",8,72,3,89,2050863,2050942,415,576.3,17,79,76,1,2,19,107,18,0,"her",0,69,0,0,0,0,0,5195,87,1,"undersweep",0,0,87,1,1242.7,207.3,523,89
"20286",8,20,3,99,2163031,2163062,306.2,819.8,20,31,37,1,2,18,96,9,0,"dramatic",0,NA,0,0,0,0,0,4641,37,1,"accurate",0,0,NA,12,280.4,336.4,1031.9,87
"15400",9,12,4,75,4555957,4556010,317.7,563.4,15,53,79,1,2,16,73,8,0,"indoors",3,53,0,0,0,0,0,4334,46,1,"undersweep",0,0,61,6,1162.1,293.6,511.5,65
"16409",9,30,2,95,4785401,4785466,317.3,561.3,16,65,61,1,2,10,49,8,0,"the",1,28,0,0,0,0,0,3450,40,1,"undersweep",0,0,36,2,770,227.8,517.3,41
"111060",9,50,2,97,4804543,4804597,249.3,562.9,11,54,260,1,2,9,44,4,0,"year",4,34,0,1,0,0,0,2884,59,1,"undersweep",0,0,38,2,794.8,231,572.2,40
"16464",11,77,3,45,9602543,9602614,273.6,622.8,16,71,86,2,2,16,95,7,0,"because",7,80,0,0,0,0,0,5717,47,1,"undersweep",0,0,87,2,1241,222.6,554.6,88
"91510",11,58,4,84,9976862,9976936,298.1,644.4,9,74,90,1,2,13,72,7,0,"look",2,53,0,0,0,0,0,3867,45,1,"undersweep",0,0,60,1,1156.3,214.7,563.6,65
"111334",12,48,3,96,13414709,13414779,316.2,556,11,70,69,1,2,23,97,10,0,"as",1,73,0,0,0,0,0,5540,54,1,"undersweep",0,0,83,3,1188.5,233.7,506.6,87
"16683",14,31,4,49,18643845,18643875,140.9,676.2,16,30,98,NA,2,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,5576,69,1,"accurate",0,0,57,NA,1107.6,180.6,535.3,66
"61982",16,31,2,49,24145631,24145676,376.3,593.8,6,45,56,1,2,12,53,12,0,"already",5,24,0,0,0,0,0,1692,69,1,"undersweep",0,0,36,2,762.6,225.6,554.4,41
"42546",21,66,2,82,7461233,7461264,326.8,632.7,4,31,55,1,2,9,49,8,0,"three",3,28,0,0,0,0,0,1427,66,1,"undersweep",0,0,36,6,762.3,295.2,533.6,41
"52539",21,14,2,100,7562557,7562584,461.4,586.8,5,27,36,1,2,12,58,17,0,"abandoned",4,19,0,0,0,0,0,1689,56,1,"undersweep",0,0,36,6,771.7,293.1,531.8,41
